District,School,School Type,Overall Points,Overall Possible,Grade,All Students Participation,Below Proficient Participation,Growth ELA All Students,Growth ELA All Students Possible,Growth Math All Students,Growth Math All Students Possible,Growth Science All Students,Growth Science All Students Possible,Growth ELA Below Proficient,Growth ELA Below Proficient Possible,Growth Math Below Proficient,Growth Math Below Proficient Possible,Growth Science Below Proficient,Growth Science Below Proficient Possible,ELA Proficient,ELA Proficient Possible,Math Proficient,Math Proficient Possible,Science Proficient,Science Proficient Possible,College Career Readiness GRAD,College Career Readiness GRAD Possible,Number of Students Meeting All Four CCR Benchmarks ACT,College Career Readiness ACT Possible
BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),High School Report,0,0,,99.59%,100%,31,50,38,50,32,50,NA,NA,NA,NA,118,150,39,100,52,100,38,100,NA,NA,NA,NA
BOX ELDER DISTRICT,ADELE C. YOUNG INTERMEDIATE,Elem/Middle/Jr High School,329,600,B,99.78%,99.81%,29,50,37,50,31,50,26,50,38,50,32,50,39,100,49,100,48,100,NA,NA,NA,NA
BOX ELDER DISTRICT,ALICE C. HARRIS INTERMEDIATE,Elem/Middle/Jr High School,376,600,B,99.56%,99.7%,37,50,34,50,35,50,35,50,34,50,37,50,55,100,51,100,58,100,NA,NA,NA,NA
BOX ELDER DISTRICT,BEAR RIVER HIGH,High School Report,429,900,C,98.63%,96.33%,23,50,27,50,27,50,31,50,25,50,27,50,35,100,35,100,31,100,142,150,26,150
BOX ELDER DISTRICT,BEAR RIVER MIDDLE,Elem/Middle/Jr High School,331,600,B,99.46%,98.1%,38,50,31,50,18,50,41,50,35,50,29,50,50,100,43,100,46,100,NA,NA,NA,NA
BOX ELDER DISTRICT,BOX ELDER HIGH,High School Report,472,900,B,98.4%,96%,26,50,27,50,33,50,29,50,35,50,40,50,31,100,25,100,54,100,138,150,34,150
BOX ELDER DISTRICT,BOX ELDER MIDDLE,Elem/Middle/Jr High School,286,600,C,98.98%,97.37%,16,50,37,50,30,50,19,50,33,50,27,50,26,100,46,100,52,100,NA,NA,NA,NA
BOX ELDER DISTRICT,CENTURY SCHOOL,Elem/Middle/Jr High School,333,600,B,100%,100%,31,50,38,50,28,50,40,50,33,50,19,50,40,100,55,100,49,100,NA,NA,NA,NA
BOX ELDER DISTRICT,DISCOVERY SCHOOL,Elem/Middle/Jr High School,395,600,A,98.97%,96.3%,36,50,41,50,30,50,31,50,50,50,32,50,56,100,60,100,59,100,NA,NA,NA,NA
BOX ELDER DISTRICT,FIELDING SCHOOL,Elem/Middle/Jr High School,371,600,B,100%,100%,32,50,33,50,43,50,26,50,25,50,42,50,51,100,58,100,61,100,NA,NA,NA,NA
BOX ELDER DISTRICT,FOOTHILL SCHOOL,Elem/Middle/Jr High School,311,600,B,100%,100%,30,50,27,50,36,50,33,50,26,50,34,50,41,100,43,100,41,100,NA,NA,NA,NA
BOX ELDER DISTRICT,GARLAND SCHOOL,Elem/Middle/Jr High School,386,600,A,100%,100%,32,50,37,50,36,50,42,50,34,50,42,50,54,100,61,100,48,100,NA,NA,NA,NA
BOX ELDER DISTRICT,LAKE VIEW SCHOOL,Elem/Middle/Jr High School,291,600,C,100%,100%,27,50,33,50,31,50,22,50,30,50,34,50,39,100,35,100,40,100,NA,NA,NA,NA
BOX ELDER DISTRICT,MCKINLEY SCHOOL,Elem/Middle/Jr High School,335,600,B,100%,100%,28,50,37,50,44,50,28,50,35,50,39,50,33,100,42,100,49,100,NA,NA,NA,NA
BOX ELDER DISTRICT,MOUNTAIN VIEW SCHOOL,Elem/Middle/Jr High School,315,600,B,100%,100%,30,50,32,50,38,50,27,50,28,50,30,50,41,100,46,100,43,100,NA,NA,NA,NA
BOX ELDER DISTRICT,NORTH PARK SCHOOL,Elem/Middle/Jr High School,351,600,B,100%,100%,33,50,31,50,31,50,52,75,55,75,NA,NA,41,100,50,100,58,100,NA,NA,NA,NA
BOX ELDER DISTRICT,PARK VALLEY SCHOOL,Elem/Middle/Jr High School,375,600,B,100%,100%,125,150,113,150,NA,NA,NA,NA,NA,NA,NA,NA,60,100,60,100,17,100,NA,NA,NA,NA
BOX ELDER DISTRICT,SNOWVILLE SCHOOL,High School Report,0,0,,100%,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,150,118,150,NA,NA,NA,NA,NA,NA
BOX ELDER DISTRICT,THREE MILE CREEK SCHOOL,Elem/Middle/Jr High School,353,600,B,99.48%,98.92%,32,50,37,50,38,50,34,50,34,50,34,50,45,100,49,100,50,100,NA,NA,NA,NA
CACHE DISTRICT,BIRCH CREEK SCHOOL,Elem/Middle/Jr High School,341,600,B,99.74%,100%,28,50,31,50,27,50,28,50,38,50,17,50,54,100,61,100,57,100,NA,NA,NA,NA
CACHE DISTRICT,CANYON SCHOOL,Elem/Middle/Jr High School,363,600,B,99.86%,100%,33,50,36,50,24,50,35,50,29,50,23,50,58,100,64,100,61,100,NA,NA,NA,NA
CACHE DISTRICT,CEDAR RIDGE MIDDLE,Elem/Middle/Jr High School,311,600,B,100%,100%,26,50,25,50,27,50,21,50,27,50,30,50,53,100,49,100,53,100,NA,NA,NA,NA
CACHE DISTRICT,GREENVILLE SCHOOL,Elem/Middle/Jr High School,403,600,A,99.86%,100%,33,50,31,50,40,50,46,75,NA,NA,45,75,67,100,73,100,68,100,NA,NA,NA,NA
CACHE DISTRICT,HERITAGE SCHOOL,Elem/Middle/Jr High School,399,600,A,100%,100%,30,50,28,50,34,50,63,75,NA,NA,48,75,61,100,72,100,63,100,NA,NA,NA,NA
CACHE DISTRICT,LEWISTON SCHOOL,Elem/Middle/Jr High School,345,600,B,100%,100%,30,50,31,50,30,50,28,50,36,50,26,50,56,100,55,100,53,100,NA,NA,NA,NA
CACHE DISTRICT,LINCOLN SCHOOL,Elem/Middle/Jr High School,290,600,C,100%,100%,30,50,26,50,27,50,NA,NA,38,75,28,75,45,100,51,100,45,100,NA,NA,NA,NA
CACHE DISTRICT,MILLVILLE SCHOOL,Elem/Middle/Jr High School,393,600,A,100%,100%,56,100,67,100,65,100,NA,NA,NA,NA,NA,NA,61,100,70,100,74,100,NA,NA,NA,NA
CACHE DISTRICT,MOUNTAIN CREST HIGH,High School Report,561,900,B,99.74%,97.37%,29,50,35,50,31,50,37,50,48,50,34,50,46,100,55,100,61,100,141,150,44,150
CACHE DISTRICT,MOUNTAINSIDE SCHOOL,Elem/Middle/Jr High School,411,600,A,100%,100%,30,50,38,50,37,50,54,75,NA,NA,55,75,57,100,74,100,66,100,NA,NA,NA,NA
CACHE DISTRICT,NIBLEY SCHOOL,Elem/Middle/Jr High School,433,600,A,100%,100%,82,100,64,100,78,100,NA,NA,NA,NA,NA,NA,65,100,71,100,73,100,NA,NA,NA,NA
CACHE DISTRICT,NORTH CACHE CENTER,Elem/Middle/Jr High School,374,600,B,99.94%,100%,31,50,37,50,31,50,32,50,40,50,34,50,54,100,56,100,59,100,NA,NA,NA,NA
CACHE DISTRICT,NORTH PARK SCHOOL,Elem/Middle/Jr High School,364,600,B,100%,100%,31,50,28,50,23,50,56,75,38,75,NA,NA,59,100,68,100,61,100,NA,NA,NA,NA
CACHE DISTRICT,PARK SCHOOL,Elem/Middle/Jr High School,433,600,A,100%,100%,73,100,79,100,68,100,NA,NA,NA,NA,NA,NA,67,100,73,100,73,100,NA,NA,NA,NA
CACHE DISTRICT,PROVIDENCE SCHOOL,Elem/Middle/Jr High School,369,600,B,100%,100%,58,100,53,100,62,100,NA,NA,NA,NA,NA,NA,66,100,73,100,57,100,NA,NA,NA,NA
CACHE DISTRICT,RIVER HEIGHTS SCHOOL,Elem/Middle/Jr High School,377,600,B,100%,100%,31,50,31,50,41,50,25,50,27,50,39,50,59,100,67,100,57,100,NA,NA,NA,NA
CACHE DISTRICT,SKY VIEW HIGH,High School Report,543,900,B,99.83%,100%,27,50,34,50,33,50,33,50,36,50,36,50,50,100,47,100,55,100,142,150,50,150
CACHE DISTRICT,SOUTH CACHE CENTER,Elem/Middle/Jr High School,384,600,A,99.76%,98.4%,34,50,39,50,29,50,36,50,31,50,32,50,57,100,64,100,62,100,NA,NA,NA,NA
CACHE DISTRICT,SPRING CREEK MIDDLE,Elem/Middle/Jr High School,346,600,B,100%,100%,32,50,28,50,29,50,31,50,25,50,30,50,57,100,53,100,61,100,NA,NA,NA,NA
CACHE DISTRICT,SUMMIT SCHOOL,Elem/Middle/Jr High School,361,600,B,100%,100%,50,100,58,100,64,100,NA,NA,NA,NA,NA,NA,60,100,68,100,61,100,NA,NA,NA,NA
CACHE DISTRICT,SUNRISE SCHOOL,Elem/Middle/Jr High School,410,600,A,100%,100%,64,100,66,100,68,100,NA,NA,NA,NA,NA,NA,70,100,73,100,69,100,NA,NA,NA,NA
CACHE DISTRICT,WELLSVILLE SCHOOL,Elem/Middle/Jr High School,371,600,B,100%,100%,33,50,32,50,30,50,90,150,NA,NA,NA,NA,60,100,62,100,64,100,NA,NA,NA,NA
CACHE DISTRICT,WHITE PINE MIDDLE,Elem/Middle/Jr High School,276,600,C,100%,100%,26,50,22,50,22,50,25,50,27,50,18,50,49,100,40,100,47,100,NA,NA,NA,NA
CACHE DISTRICT,WILLOW VALLEY MIDDLE,Elem/Middle/Jr High School,330,600,B,100%,100%,29,50,27,50,31,50,28,50,27,50,29,50,51,100,51,100,57,100,NA,NA,NA,NA
CANYON GROVE ACADEMY,CANYON GROVE ACADEMY,Elem/Middle/Jr High School,215,600,D,100%,100%,16,50,29,50,25,50,19,50,27,50,30,50,25,100,26,100,18,100,NA,NA,NA,NA
CANYON RIM ACADEMY,CANYON RIM ACADEMY,Elem/Middle/Jr High School,407,600,A,100%,100%,37,50,41,50,35,50,41,50,40,50,29,50,60,100,61,100,63,100,NA,NA,NA,NA
CANYONS DISTRICT,ALBION MIDDLE,Elem/Middle/Jr High School,360,600,B,99.85%,99.51%,33,50,34,50,26,50,35,50,32,50,30,50,59,100,56,100,55,100,NA,NA,NA,NA
CANYONS DISTRICT,ALTA HIGH,High School Report,481,900,B,99.61%,98.67%,27,50,28,50,30,50,26,50,26,50,29,50,46,100,34,100,49,100,136,150,50,150
CANYONS DISTRICT,ALTA VIEW SCHOOL,Elem/Middle/Jr High School,322,600,B,99.05%,100%,36,50,29,50,30,50,31,50,33,50,20,50,53,100,44,100,46,100,NA,NA,NA,NA
CANYONS DISTRICT,ALTARA SCHOOL,Elem/Middle/Jr High School,333,600,B,99.88%,100%,31,50,26,50,34,50,34,50,29,50,38,50,47,100,49,100,45,100,NA,NA,NA,NA
CANYONS DISTRICT,BELL VIEW SCHOOL,Elem/Middle/Jr High School,342,600,B,100%,100%,40,50,34,50,22,50,37,50,38,50,25,50,49,100,44,100,53,100,NA,NA,NA,NA
CANYONS DISTRICT,BELLA VISTA SCHOOL,Elem/Middle/Jr High School,323,600,B,100%,100%,33,50,25,50,39,50,31,50,34,50,39,50,43,100,38,100,41,100,NA,NA,NA,NA
CANYONS DISTRICT,BRIGHTON HIGH,High School Report,484,900,B,99.55%,98.58%,30,50,36,50,27,50,27,50,29,50,27,50,48,100,39,100,39,100,132,150,50,150
CANYONS DISTRICT,BROOKWOOD SCHOOL,Elem/Middle/Jr High School,356,600,B,100%,100%,31,50,29,50,26,50,37,50,33,50,29,50,54,100,63,100,54,100,NA,NA,NA,NA
CANYONS DISTRICT,BUTLER MIDDLE,Elem/Middle/Jr High School,360,600,B,99.92%,99.79%,40,50,33,50,34,50,38,50,32,50,30,50,59,100,41,100,53,100,NA,NA,NA,NA
CANYONS DISTRICT,BUTLER SCHOOL,Elem/Middle/Jr High School,299,600,C,100%,100%,33,50,19,50,32,50,28,50,19,50,26,50,53,100,45,100,44,100,NA,NA,NA,NA
CANYONS DISTRICT,CANYON VIEW SCHOOL,Elem/Middle/Jr High School,328,600,B,100%,100%,31,50,30,50,33,50,31,50,27,50,31,50,50,100,47,100,48,100,NA,NA,NA,NA
CANYONS DISTRICT,COPPERVIEW SCHOOL,Elem/Middle/Jr High School,214,600,D,100%,100%,28,50,25,50,31,50,28,50,28,50,32,50,20,100,15,100,7,100,NA,NA,NA,NA
CANYONS DISTRICT,CORNER CANYON HIGH,High School Report,0,0,,99.95%,100%,32,50,25,50,29,50,31,50,29,50,28,50,52,100,33,100,48,100,NA,NA,NA,NA
CANYONS DISTRICT,CRESCENT SCHOOL,Elem/Middle/Jr High School,326,600,B,99.53%,100%,34,50,34,50,30,50,37,50,33,50,22,50,46,100,44,100,46,100,NA,NA,NA,NA
CANYONS DISTRICT,DRAPER PARK MIDDLE,Elem/Middle/Jr High School,408,600,A,99.58%,99.48%,39,50,34,50,38,50,39,50,37,50,38,50,66,100,54,100,63,100,NA,NA,NA,NA
CANYONS DISTRICT,DRAPER SCHOOL,Elem/Middle/Jr High School,406,600,A,100%,100%,39,50,36,50,37,50,39,50,41,50,37,50,63,100,60,100,54,100,NA,NA,NA,NA
CANYONS DISTRICT,EAST MIDVALE SCHOOL,Elem/Middle/Jr High School,315,600,B,100%,100%,33,50,25,50,36,50,38,50,28,50,35,50,37,100,37,100,46,100,NA,NA,NA,NA
CANYONS DISTRICT,EAST SANDY SCHOOL,Elem/Middle/Jr High School,357,600,B,100%,100%,34,50,34,50,32,50,43,50,32,50,29,50,49,100,51,100,53,100,NA,NA,NA,NA
CANYONS DISTRICT,EASTMONT MIDDLE,Elem/Middle/Jr High School,396,600,A,99.89%,99.14%,37,50,37,50,39,50,37,50,38,50,41,50,56,100,47,100,64,100,NA,NA,NA,NA
CANYONS DISTRICT,EDGEMONT SCHOOL,Elem/Middle/Jr High School,316,600,B,100%,100%,33,50,25,50,27,50,39,50,28,50,38,50,49,100,33,100,44,100,NA,NA,NA,NA
CANYONS DISTRICT,ENTRADA,High School Report,0,0,,100%,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,150,NA,NA
CANYONS DISTRICT,GRANITE SCHOOL,Elem/Middle/Jr High School,473,600,A,100%,100%,42,50,41,50,34,50,135,150,NA,NA,NA,NA,71,100,69,100,81,100,NA,NA,NA,NA
